student_id,student_name,father_name,gender,age,class,python_marks,java_marks,ruby_marks,cpp_marks,sql_marks,city,admission_date
,gary hart,Elizabeth Guerra,unknown,20,11th,eighty,,79,,16,,29/09/2021
,  Ebony Mason  ,Lori Elliott123,F,23,11th,eighty,,absent,,,,"January 09, 2022"
ID_725,  Brandon Stevens  ,,,-5,,,92,,NULL,?,123City,08/10/2022
,terrence johnson,George Miller,F,,12th,N/A,,absent,33,,,1992-04-25
728,,unknown,,23,11th,N/A,8,-30,57,,,08/01/2025
ID_728,KATHY ESTRADA,Margaret Rodriguez,M,-5,12th,eighty,96,,11,63,South Jasonhaven,1995-01-19
730,Tammy Wiggins,Meghan Butler123,Male,,bs-cs,,,82,NULL,101,ROBINSONMOUTH,1980-03-06
,deborah larsen,Paula Bailey,Male,15,BSCS,eighty,123,,11,95,123City,
ID_731,  Cassandra Williams  ,Jamie Howell,F,27,BSCS,N/A,90 ,absent,NULL,,123City,"December 15, 2023"
ID_732,  Jill Green  ,unknown,M,200,,,90 ,absent,NULL,,BENSONFURT,06/11/2025
,mitchell hartman,Christopher Reyes,unknown,200,,eighty,,absent,47,?,Karenside,1972-12-22
735,Vanessa Huff,,M,28,10th,eighty,90 ,absent,,?,123City,2025.12.20
736,  Isaac Harrison  ,,,-5,,N/A,,-11,,?,,24/03/2021
,,Ashley Lang123,unknown,-5,11th,30,85,absent,NULL,,,1999-04-19
738,LISA PETERSEN,Mrs. Heather Ortega,Male,22,,,90 ,,,,,not_a_date
739,jonathan lowe,Mary Romero,M,twenty,,eighty,39,,27,?,,2022.11.17
740,,John Bartlett123,,19,11th,,,103,28,?,,1970-04-14
741,Susan Edwards,Madison Levy123,Female,-5,10th,,,93,,?,Port Christopher,
742,,Martha Jones123,,twenty,11th,eighty,90 ,-23,,?,123City,1992-03-25
,CHEYENNE RUSSO,,Male,,bs-cs,117,,-1,67,,Garyside,1990-04-07
744,,Robert Williams,,19,,29,68,93,86,?,Port Stephentown,2023.07.23
745,mr. matthew peters,Stephanie Tyler123,Female,-5,10th,102,,,NULL,?,123City,not_a_date
,Robert Craig,Bethany Garza123,M,,bs-cs,71,100,absent,90,?,MARCUSTOWN,"January 06, 2022"
747,  Cory Ortega  ,Antonio Vasquez,unknown,200,BSCS,65,115,67,NULL,36,,"January 09, 2025"
748,mark shepherd,,unknown,-5,,N/A,,45,,?,Jenniferville,
749,ROBERT GREEN,,,200,10th,eighty,90 ,-3,NULL,22,,2021.07.27
750,,Rebecca Ramsey,unknown,-5,11th,,90 ,,NULL,84,MATTHEWSIDE,"September 24, 2025"
751,dr. david lopez jr.,Kimberly Gutierrez123,unknown,200,,eighty,90 ,69,16,,,2025.03.09
752,  Laura Walker  ,Jimmy Dixon123,,,BSCS,32,,-16,6,,,not_a_date
,Jeremy Rivera,Thomas Kaufman,unknown,29,11th,eighty,90 ,absent,,112,,2010-04-30
754,,David Foster,Female,,,eighty,,,,?,PENNINGTONBOROUGH,
,,Brenda Aguirre,Female,,10th,eighty,,,NULL,92,123City,
ID_755,,Jesse Andrews,F,,11th,29,47,-15,NULL,?,West Colleen,22/11/2021
ID_756,JUSTIN MORGAN,Mary Watson,,28,BSCS,96,,absent,NULL,,South Sergioberg,not_a_date
,,Katherine Price,F,,BSCS,98,90 ,10,38,?,123City,2011-11-04
,Jacqueline Hansen,unknown,Female,,12th,70,90 ,,,?,West Christopherborough,2024.11.10
760,,Brett Bell,,200,,,26,35,59,,123City,03/01/2025
761,TAMMY YOUNG,Brandy Brooks,F,twenty,bs-cs,eighty,,,95,?,WEST MCKENZIE,not_a_date
,STACY BROWN,unknown,M,19,10th,,31,absent,,?,,2022.01.26
,bridget rodriguez,unknown,,,10th,eighty,,,NULL,-22,LAKE CODYSTAD,12/05/2021
764,,Amy Wheeler123,F,-5,12th,N/A,,,NULL,?,,2021.06.05
ID_764,mary oconnell,unknown,unknown,twenty,10th,,,,NULL,?,PORT ANGELAMOUTH,2023.02.19
,holly allison,Angela Ross123,Male,,,N/A,,,31,,NORMAVIEW,
767,,,,-5,BSCS,86,127,absent,,?,SOUTH VICTORIASHIRE,2024.08.27
,DAVID HOWELL,Justin Rogers,F,28,BS-CS,N/A,,,89,-43,123City,"January 05, 2023"
ID_768,  James Martinez  ,unknown,Female,-5,10th,,,45,,,,23/10/2025
770,DAVID MCCLURE,,Male,30,,,,45,NULL,,123City,not_a_date
771,,Taylor Guerra,,26,12th,,115,57,67,?,,
ID_771,,Jessica Sullivan,,16,12th,eighty,15,67,30,127,,09/07/2024
773,  Amy Stanley  ,Julie Martinez,,,10th,N/A,,absent,,?,123City,26/06/2025
ID_773,nicole rojas,,,,11th,111,,absent,NULL,?,,1974-05-19
,  Michele Lewis  ,Dr. Derek Gomez,,twenty,,,,absent,12,,123City,2022.06.25
ID_775,,Tony Velazquez,,200,,,93,absent,,,East Karenmouth,
777,,Leslie Nguyen123,,17,10th,N/A,,4,,?,LONGSHIRE,1975-11-09
778,Jeremy Gray,Juan Garza,Female,-5,bs-cs,115,90 ,absent,NULL,?,,12/04/2025
ID_778,brandi ramirez,unknown,,,10th,N/A,85,absent,67,?,123City,
,  Matthew Thompson  ,unknown,unknown,twenty,,eighty,90 ,absent,,72,,"July 26, 2024"
ID_780,,unknown,Male,twenty,BS-CS,-12,90 ,46,93,-14,,not_a_date
ID_781,MARGARET MANN,Barbara Thompson,,200,,N/A,,,,?,Port Johnview,2022.11.06
783,lonnie juarez,,,,10th,eighty,,80,90,,Thomasside,"January 12, 2022"
784,ELIZABETH LOPEZ,Kaitlyn Johnson123,Female,twenty,,,,53,,29,,1995-02-14
,  Kristen Sandoval  ,unknown,Female,-5,12th,22,,absent,NULL,77,NEW JOSEPH,
,CHARLES WOODWARD,unknown,Male,200,12th,83,,,,54,123City,
,,unknown,Female,,BSCS,-4,90 ,55,62,-2,East David,1992-06-14
,EILEEN SLOAN,unknown,Female,24,,eighty,,absent,NULL,,123City,
789,ashley norman,,unknown,twenty,10th,-1,,,,40,,21/02/2021
790,nicole haas,Kari Rivera,M,20,10th,N/A,,-21,NULL,,Davisborough,"November 20, 2024"
,Darlene Jones,James Spence,unknown,,,N/A,,27,NULL,-41,Popefort,
792,Richard Cohen,,F,27,BS-CS,N/A,,,78,111,Heatherton,1972-07-09
ID_792,jenna cooper,Betty Steele,M,21,bs-cs,N/A,90 ,96,,125,Danielleland,2023.06.11
794,,unknown,F,200,10th,eighty,,81,NULL,132,Lake Dana,2012-10-06
795,CHRISTOPHER ERICKSON,unknown,Male,21,10th,N/A,90 ,75,29,?,,02/01/2023
ID_795,  Frank Williams  ,Laurie Marsh123,,,12th,eighty,78,90,,-42,123City,21/03/2023
797,Paula Jones,unknown,Male,-5,bs-cs,eighty,90 ,absent,33,62,,
798,,unknown,Female,27,BS-CS,eighty,44,absent,,,,not_a_date
,Jennifer Williams,Kurt Morgan,,twenty,11th,eighty,,absent,,?,Robinport,1982-11-21
800,,Michelle Farrell,Female,twenty,10th,-18,90 ,17,NULL,?,West Joseph,not_a_date
801,  Amanda Tucker  ,Donna Garrison,unknown,,,,,absent,,?,123City,not_a_date
802,  Cindy Stanley  ,unknown,Male,-5,10th,-7,90 ,,13,?,123City,1989-07-08
803,,,unknown,27,,eighty,7,107,50,,Destinybury,"June 01, 2025"
804,Patrick Brown,unknown,M,200,11th,16,90 ,absent,,?,123City,2003-12-11
ID_804,shannon trevino,Dylan Crawford,,17,10th,,,74,,,123City,2024-06-25
,,,Female,200,11th,81,90 ,,,?,,2023-11-01
,,,Female,17,12th,eighty,63,,NULL,?,,"June 11, 2023"
808,  Brenda Colon  ,Patricia Farley123,F,-5,,N/A,,absent,,?,SOUTH DAVIDTOWN,"October 28, 2021"
809,Lisa Bridges,Jeffrey Williamson123,unknown,24,BS-CS,,,24,88,,,
810,ronnie knapp,,Female,,10th,N/A,,13,,144,,
811,Ashley Keller,unknown,,200,,N/A,90 ,absent,56,34,123City,
ID_811,JONATHAN MOORE,,Male,200,11th,N/A,29,absent,,,123City,2022.01.17
ID_812,Susan Hooper,unknown,Male,,10th,N/A,90 ,,86,,JAMESLAND,not_a_date
814,Ronald Garcia,Joseph Cain,unknown,22,BS-CS,-6,90 ,,70,69,Lake Tracey,"September 24, 2021"
815,alyssa huynh,Trevor Le,Female,16,BS-CS,eighty,90 ,absent,,-17,,20/11/2025
,Annette Harris,,Female,-5,BSCS,N/A,84,,82,,COCHRANTOWN,2023.06.17
ID_816,TIMOTHY VAUGHN DDS,Robert Wright123,Female,20,BSCS,N/A,,absent,,,,2001-09-21
818,,,Male,,BSCS,,90 ,45,NULL,?,New Davidchester,2021.04.21
819,NATALIE MAHONEY,James Mills,Male,30,BS-CS,eighty,109,100,78,48,Lisaborough,
ID_819,,,F,,BS-CS,105,,absent,NULL,?,,not_a_date
821,Edwin Ortiz,,,18,bs-cs,-17,,55,4,?,SOUTH JEFFREY,1977-11-22
ID_821,Eric Yang,Jason Martin123,,twenty,12th,48,,-30,NULL,?,Port Sarah,1971-06-25
,renee bailey,Bruce Huang,F,twenty,,98,,,,?,West Timothyfort,2006-12-05
,matthew nixon,Ruth Richards,Male,200,,96,,absent,99,,PORT RYANLAND,2023.01.02
ID_824,Denise Turner,unknown,Female,200,12th,73,53,34,,?,SOUTH CARRIE,
826,JACOB GARCIA,William Crawford,M,200,10th,eighty,,,,135,123City,
827,  Sara Evans  ,Jesus James,M,,12th,102,,absent,NULL,?,,"February 24, 2024"
828,michael henry,Christina Jones,M,,12th,,,,,130,,1985-10-01
829,mary mcdonald,Stephanie Espinoza,Male,26,11th,eighty,42,-27,NULL,?,123City,"July 24, 2021"
830,,Connor Watson123,Male,-5,11th,eighty,,35,NULL,8,,"September 02, 2022"
831,David Carlson,unknown,Male,,,N/A,59,,,?,NEW MICHAELSTAD,2023.03.19
832,James Bauer,,Male,-5,12th,eighty,,91,NULL,?,,not_a_date
,,Shawn Rodriguez,unknown,27,,90,8,34,,,,2025.04.24
834,brian chapman,,Male,23,10th,N/A,,absent,NULL,,,28/05/2024
835,,Joseph Powell,Female,,BSCS,99,90 ,46,NULL,?,Watsonchester,2000-10-13
,kim lawrence,Virginia Johnson,M,twenty,12th,,111,80,NULL,?,,
ID_836,Paul Smith,Victor Barnes,unknown,29,12th,eighty,,absent,79,,,
,peter dorsey,,,19,BSCS,20,,94,61,2,TERRYLAND,not_a_date
ID_838,michelle jones,,M,twenty,,36,,110,,-25,123City,2022.06.30
840,jennifer smith,Richard Harrell123,Male,,,37,-8,absent,,35,,30/01/2026
841,jonathan mccarthy,unknown,Female,200,,eighty,,,,,123City,02/10/2024
,,Scott Guzman,,-5,12th,113,,5,79,79,Rossmouth,1973-06-01
843,,Robert Lopez,unknown,,,N/A,,-16,,?,,2022.03.12
,,Angela Norton DDS123,F,twenty,bs-cs,N/A,90 ,absent,,,ROBERTBERG,"September 18, 2022"
845,  Traci Austin  ,Adam Lucas123,,200,BS-CS,,,,NULL,58,East Colefort,04/03/2021
,ISAIAH SCOTT,Roy Mitchell123,M,200,BSCS,21,,absent,NULL,,CERVANTESBOROUGH,
ID_846,JOSEPH NOBLE DDS,Lisa Kramer,Male,-5,BS-CS,N/A,90 ,,,,,not_a_date
,  Karen Crosby  ,unknown,M,-5,BS-CS,eighty,,87,,?,Floresport,"June 04, 2024"
849,,unknown,Female,26,,,,,NULL,?,Port Tammyhaven,not_a_date
,austin fitzgerald,Jason Nelson123,,,10th,eighty,,absent,NULL,?,BECKERLAND,"July 02, 2021"
851,Veronica Aguilar,Kyle Escobar,,twenty,BS-CS,N/A,,-17,NULL,117,123City,19/10/2023
852,,Joseph Santiago,F,23,bs-cs,eighty,,absent,60,,,"October 04, 2022"
,MATTHEW SHEPHERD,unknown,Male,,BSCS,N/A,102,,NULL,?,Bassport,1993-02-22
ID_853,MICHAEL WILLIAMS,Michael Davis123,M,twenty,,N/A,,16,,?,123City,12/03/2025
,Brittney Booker,unknown,,30,,N/A,,,NULL,,,2021.05.27
856,  Alexander Lindsey  ,,,twenty,BSCS,,,absent,NULL,,,2012-10-26
857,andrea thompson,unknown,M,,11th,,,,14,?,,not_a_date
,Jonathan Foster,Brian Baker123,,,11th,-12,,17,,?,,2023.04.08
,michelle williams,Ethan Trevino123,,200,11th,,,105,NULL,,123City,1977-03-12
860,,Matthew Bauer123,F,twenty,BS-CS,N/A,90 ,,NULL,143,123City,"May 09, 2023"
ID_860,susan gentry,unknown,Male,twenty,BS-CS,eighty,106,absent,29,,Skinnerburgh,2010-12-22
ID_861,,,F,twenty,,81,,15,,?,123City,"November 15, 2022"
,,Tara Russell,F,,12th,N/A,90 ,55,NULL,-14,TODDSTAD,not_a_date
864,brian may,Wendy Mclaughlin,,15,bs-cs,92,,26,NULL,?,Juantown,not_a_date
865,,unknown,unknown,200,,30,90 ,,,,123City,"October 12, 2024"
ID_865,jamie martinez,,unknown,,,eighty,,-27,NULL,,123City,
867,,Zachary Martinez123,M,200,10th,99,,absent,34,,,
ID_867,Ann Haney,unknown,,22,,eighty,-4,,27,?,,22/12/2025
869,James Nunez,Christina Carson123,M,200,11th,,,-25,62,?,123City,2022.08.12
ID_869,JEANNE WALKER,Phillip Lewis,Male,,12th,eighty,90 ,87,NULL,?,HERNANDEZSHIRE,2022.02.04
871,,Lori Delgado,,200,12th,11,,78,9,39,,12/10/2022
872,,Bradley Mckay,F,,11th,18,,,51,?,,25/07/2025
ID_872,  Tonya Martin  ,Mary Marshall123,,twenty,12th,,,,31,-32,,1974-03-17
874,GREGORY HOGAN,Cynthia Figueroa,M,twenty,,eighty,,,,,,2009-12-05
,,Jeffery Perkins,unknown,,,,68,absent,,44,NEW STEPHEN,
ID_875,JEANNE BUSH,Michael Vasquez,unknown,twenty,12th,104,,absent,NULL,?,New Pedro,"July 25, 2022"
877,,Amanda Martin,unknown,,11th,N/A,,,84,?,123City,2021.11.07
878,larry lee,Danny Johnson,Female,200,BSCS,43,,9,NULL,?,,
,HOLLY MYERS,,Female,,BS-CS,eighty,,,63,?,SANTOSBURY,not_a_date
ID_879,,,Female,twenty,BS-CS,N/A,90 ,absent,54,?,LAKE CHRISTOPHER,1998-11-01
881,,,,200,bs-cs,eighty,,,NULL,137,,not_a_date
ID_881,  Albert Green  ,unknown,unknown,twenty,11th,35,,absent,NULL,,,2025.04.27
883,  Marcia Beck  ,,M,twenty,,-19,53,absent,,?,Ronniehaven,not_a_date
,,unknown,Male,-5,,117,90 ,93,,-27,Meredithberg,1980-03-04
885,,Kara Farmer123,M,twenty,10th,eighty,84,,,?,North Jaclyn,2024.11.02
,  Sean Strickland  ,Ashley Hoffman,unknown,200,BSCS,N/A,111,,53,,BRIANBURGH,2024.06.02
ID_886,,Erin Benitez,unknown,twenty,BSCS,,,,,?,NEW MICHAEL,2003-12-05
888,,unknown,Male,-5,,115,90 ,,30,?,123City,
ID_888,Samuel Arias,Dennis Cochran,unknown,28,bs-cs,N/A,,absent,,127,NORTH PAUL,"May 26, 2025"
,DON PATTERSON,John Mcdowell123,Female,-5,,,,absent,NULL,?,,not_a_date
ID_890,Laura Collins,Melissa Whitney,Male,200,bs-cs,,,absent,5,?,Jimenezville,2024.12.17
892,,Richard Martinez,F,,12th,N/A,90 ,,69,?,North Jessica,2023.09.09
ID_892,Joshua Sanford,David Howard123,Female,,12th,eighty,,,88,15,,2021.10.23
894,  Andrew Price  ,Jonathan Nichols,,,10th,eighty,90 ,absent,NULL,?,,1995-05-18
895,,Linda Craig123,M,-5,BS-CS,N/A,,,,?,,
896,,unknown,Male,28,BS-CS,eighty,90 ,96,6,,,"March 28, 2021"
,,Christopher Duffy123,unknown,21,BS-CS,N/A,90 ,,,?,,25/10/2025
,,Jeffery Prince123,Male,,10th,eighty,90 ,absent,NULL,50,123City,"March 26, 2022"
,Joseph Thomas,Robert Price,Female,200,BS-CS,N/A,,absent,72,?,KELLYMOUTH,not_a_date
,,Anthony Rhodes Jr.123,unknown,200,12th,,92,-22,,,East Lindamouth,"May 18, 2022"
901,Chelsea Nelson,Ashley Dominguez MD123,Male,,11th,eighty,90 ,,75,-35,,not_a_date
902,Brandy Salazar,Robert Carson,Female,20,bs-cs,N/A,66,,50,-43,Lewisstad,not_a_date
903,  Dana Cole  ,Theresa Escobar123,M,28,11th,,123,,,,,"July 26, 2021"
,  Jesse Jordan Jr.  ,Mary Knight,,-5,BS-CS,N/A,,103,,,,2024.10.29
,Noah Robbins,,,200,12th,,,11,,,Howellfort,"March 30, 2025"
,YOLANDA ALEXANDER,Michael Hamilton,,,,eighty,90 ,,,,,not_a_date
907,,Danielle Rice,Male,200,,120,,absent,,-17,123City,2025.05.28
908,  Steven Ramos  ,unknown,unknown,200,bs-cs,,,,,114,YORKMOUTH,2025.04.23
909,ANTHONY BURGESS,Erin Johnston,F,30,12th,N/A,,100,NULL,?,GRANTSIDE,2003-12-16
ID_909,,Jesus Lowery,,twenty,BS-CS,14,,2,NULL,?,Marilynmouth,29/09/2022
,MARIA CARROLL,,unknown,200,BSCS,,,absent,,,NORTH BENJAMINBERG,"June 03, 2024"
912,,unknown,Female,22,,-12,90 ,absent,NULL,,,
,,unknown,M,25,11th,119,90 ,absent,NULL,88,,1983-05-25
,angela long,,,16,bs-cs,82,90 ,absent,4,,,not_a_date
915,,Christopher Harvey,M,200,BSCS,N/A,90 ,,,,THOMASFORT,1979-04-22
916,Megan Everett,Adriana Vargas123,,twenty,bs-cs,N/A,90 ,31,,,,28/06/2022
,keith herrera,Kevin Middleton,,-5,BS-CS,eighty,,absent,,15,,
918,  Victor Lang  ,,,twenty,,81,,65,22,,South Stephanie,2025.02.04
ID_918,jay rodgers,Laura Pennington,F,200,10th,N/A,,,77,86,Nancyburgh,"August 11, 2023"
ID_919,  John Roberts  ,unknown,unknown,18,11th,N/A,,,NULL,,,not_a_date
,linda walker,Kristin Nichols,,200,bs-cs,,-8,,NULL,-1,,"November 04, 2024"
922,,Rebecca Brooks,,,10th,91,,,,,West Shannonville,
923,francis willis,Erika Miranda123,,-5,12th,27,,absent,,?,123City,08/05/2021
ID_923,,Samantha Robertson123,,twenty,,101,22,,NULL,?,,
925,MELANIE WILLIAMS MD,Misty Singh,F,200,BSCS,,90 ,52,NULL,?,123City,16/12/2025
926,RYAN ROLLINS,unknown,F,twenty,10th,,90 ,,NULL,?,123City,2023.06.06
927,  Denise Alvarado  ,Judy Christian,unknown,30,,eighty,90 ,-4,,3,,22/09/2021
928,CASSIDY FRAZIER,unknown,Female,-5,BSCS,,27,81,25,-40,123City,2025.07.31
929,,unknown,M,twenty,11th,N/A,90 ,absent,,,PORT JOHN,not_a_date
930,VANESSA FRAZIER,Angela Martinez,,27,11th,N/A,,absent,,?,,not_a_date
931,,unknown,Male,25,,N/A,79,absent,,-16,,
932,Adam Lowe,Sarah Martinez,unknown,-5,bs-cs,2,,,,83,,"February 17, 2025"
ID_932,MICHAEL HOUSE,Christopher Morgan,,200,11th,88,,,98,?,,
,Laurie Griffin,,,,,73,90 ,-11,88,,,
,Elizabeth Williams,,unknown,200,BS-CS,eighty,,,11,,GARYPORT,
936,jason carey,unknown,,200,,N/A,28,absent,14,-45,123City,2024-05-14
ID_936,,Caitlin Branch123,,200,,,,,83,?,123City,"April 03, 2023"
,Danny Delacruz,Christopher Drake123,M,,,N/A,,39,6,-18,East Tina,04/12/2021
939,,Steven Kirk123,Female,twenty,11th,,13,,69,-43,,
940,,unknown,F,25,bs-cs,N/A,,32,19,?,JULIEBOROUGH,
ID_940,CURTIS MCGUIRE,Luis Chavez,Male,200,12th,N/A,11,18,NULL,,WEST ALYSSABOROUGH,2020-01-06
ID_941,felicia harper,unknown,,,10th,N/A,22,,,?,123City,not_a_date
943,CARLA BROWN,,,twenty,BSCS,,,52,,,,08/10/2025
,,Chris Sexton,M,200,,eighty,90 ,,42,125,NEW JACOBBERG,
ID_944,  Crystal Jones  ,unknown,M,-5,BSCS,eighty,,absent,NULL,,123City,2000-06-23
,  Carolyn Vasquez  ,unknown,F,200,12th,,,,,?,Susanchester,2021.08.05
ID_946,  Katherine Smith  ,Robert Pham123,Male,-5,,eighty,,absent,NULL,,123City,2024.02.16
948,,Christina Ford123,Female,twenty,bs-cs,N/A,,absent,36,70,PORT MICHAEL,"March 24, 2022"
949,Scott Perkins,Eric Price,unknown,15,10th,N/A,90 ,104,NULL,-36,,not_a_date
950,Amanda Dodson,unknown,,,11th,eighty,90 ,,NULL,?,,2011-07-06
951,,,Female,200,10th,eighty,90 ,72,51,77,New Anthony,
952,  Andrea Gordon  ,Diane Burns,M,-5,12th,N/A,,3,99,47,,2025.10.23
953,dennis lopez,unknown,Male,twenty,,eighty,,absent,NULL,?,,"April 17, 2021"
,STACY TAYLOR,,M,200,BS-CS,67,,absent,57,?,LAKE ERIC,not_a_date
955,  Matthew Adams  ,Bryan Young,,-5,BSCS,,,,NULL,61,NEW LISA,"August 13, 2023"
,glenn blankenship,Adam Brown Jr.123,M,200,12th,N/A,103,absent,,104,South Sarahtown,2014-07-01
,ERIN STEELE,unknown,F,twenty,BS-CS,eighty,,,,,123City,15/07/2024
958,,,Male,-5,bs-cs,N/A,61,10,59,,NORTH CHRISTOPHER,17/03/2021
,,,unknown,18,bs-cs,,57,absent,,5,123City,
960,,Robert Johnson,M,twenty,BS-CS,N/A,,absent,,,PORT AARON,2010-09-21
ID_960,JESSICA HENDERSON,,Male,27,12th,eighty,,,NULL,?,MOOREVILLE,not_a_date
,charles austin,Justin Reed,unknown,twenty,BS-CS,eighty,,absent,NULL,44,Joshuaton,2025.11.28
ID_962,,Valerie Berry,Male,-5,10th,-5,,14,3,?,,26/09/2021
ID_963,REBECCA MYERS DDS,unknown,,-5,BSCS,N/A,,87,,50,New Travis,1970-08-02
965,LARRY ZHANG,Lydia Thomas,unknown,28,,N/A,,,,-34,,"June 25, 2021"
966,Lauren Odonnell,,Male,,BS-CS,eighty,25,absent,NULL,?,South Valerie,
967,CHRISTINA GUTIERREZ,unknown,Male,200,,61,90 ,absent,NULL,106,,2025.10.02
968,JOHN SANCHEZ,Michael Frederick,Male,,10th,N/A,124,,62,57,Port Theresa,23/05/2022
,Elizabeth Sullivan MD,,F,twenty,,eighty,,absent,36,?,WEST LISA,
,,Steve Boyd123,,16,12th,58,90 ,absent,NULL,,,2022.06.29
ID_970,LISA STEWART,,F,twenty,bs-cs,46,,,30,5,,1989-01-15
972,,Michael Smith123,,,BSCS,N/A,,50,,,FLORESTOWN,not_a_date
973,  Donna Murphy  ,Leslie Hernandez,Female,,10th,N/A,,,,?,123City,2022.07.17
974,ALEXANDER WHITE,Jared Mitchell,unknown,twenty,11th,N/A,90 ,24,74,87,,"December 25, 2023"
975,RAYMOND WANG,Lisa Graves,F,-5,,28,121,,NULL,,Saraside,2024.06.17
976,  Monica Spencer DDS  ,Kevin Golden,Female,,bs-cs,90,90 ,,,69,,"November 24, 2023"
977,,unknown,Female,-5,,,90 ,99,27,,East Laura,
978,MELISSA RODRIGUEZ,,Female,-5,,83,,,NULL,?,123City,24/02/2023
979,Kim Sullivan,Manuel Rivas,unknown,twenty,12th,47,128,,,105,123City,2024-07-10
980,,,,,,N/A,129,,69,136,,not_a_date
ID_980,Jose Brown,Shannon Koch,,200,,N/A,90 ,absent,,?,123City,03/09/2025
982,STEPHEN CHEN,,,200,,,26,94,NULL,?,NEW SHAWN,1991-01-24
,  Mr. William Webster  ,Thomas Scott,M,twenty,BSCS,N/A,90 ,absent,,?,123City,2015-09-30
984,John Gibson,,Male,twenty,BS-CS,,122,absent,NULL,?,123City,01/05/2025
985,BRANDON HENSON,Elizabeth Conrad,Male,-5,10th,-2,90 ,absent,NULL,,,
,,Emily Bennett,F,200,10th,eighty,,absent,NULL,?,South Staciebury,2024.02.15
987,,Kathryn Campbell,M,22,10th,N/A,,absent,NULL,,,1973-09-20
ID_987,  Danielle Perez  ,unknown,,22,bs-cs,106,,absent,NULL,,123City,"June 27, 2025"
989,,,,,10th,N/A,,,NULL,?,Lake Theresa,1978-12-08
ID_989,  Danny Luna  ,Ryan Hodges,F,200,12th,88,,,,,,15/04/2024
991,RYAN FRANK,Cassandra Orozco,unknown,twenty,10th,N/A,,absent,38,143,,19/02/2024
992,christopher navarro,Tracy Mcmillan,,200,BS-CS,N/A,90 ,,,,123City,not_a_date
993,,,Male,,BS-CS,N/A,,,,-36,,"May 17, 2023"
ID_993,,Marcus Martinez123,,23,bs-cs,,82,absent,NULL,,,2010-06-08
ID_994,PAMELA BARTLETT,Brian Graham,,22,BSCS,-4,48,,93,?,Jenniferville,
996,,Jennifer Berry,F,,,,90 ,20,NULL,,SOUTH MICHELLEBURY,30/10/2022
997,Stacy Alvarado,,F,30,12th,N/A,9,absent,,-25,,1972-04-17
ID_997,Tiffany Larson,,M,,BS-CS,,,,NULL,,Ryanstad,1993-06-24
ID_998,,Elijah Price,,24,BS-CS,102,,30,,?,Lake Teresa,not_a_date
,,Rachel Sanchez,M,30,11th,94,10,absent,,?,Lauraview,2026.01.31
1001,,Renee Caldwell123,unknown,,12th,66,,absent,39,,123City,2022-03-22
ID_1001,RYAN DAWSON,David Williamson,Female,twenty,bs-cs,20,,52,,,,2022.02.08
,  Rebecca Smith  ,unknown,F,200,12th,-17,75,absent,8,,Rodriguezville,06/04/2023
ID_1003,,,,-5,BS-CS,N/A,90 ,,58,?,123City,not_a_date
,,unknown,Female,twenty,11th,34,90 ,absent,60,61,,1998-12-18
1006,jillian jones,Kathryn Farmer,M,18,BSCS,N/A,75,absent,22,?,,
1007,  Erica Mcclure  ,unknown,Female,200,BSCS,,116,-30,74,23,,1994-01-21
1008,Ms. Stacey Petersen,Brianna Martinez,F,,11th,,90 ,78,,107,Karenton,2024.12.21
1009,,Christine Davis,Male,-5,bs-cs,26,,97,,,,not_a_date
1010,  Sandra Brewer  ,unknown,F,,11th,N/A,90 ,absent,,,123City,2024.03.19
1011,,Robert Mitchell123,Male,twenty,12th,N/A,,,,,BOONESTAD,not_a_date
1012,Jennifer Davis,Melissa Ruiz,Female,-5,10th,eighty,,absent,37,2,,"September 28, 2022"
1013,  Patricia Wilson  ,Angela Esparza123,Male,28,12th,N/A,115,absent,49,?,,not_a_date
1014,Heather Taylor,Shannon Acosta,unknown,twenty,12th,61,90 ,2,,,123City,not_a_date
1015,,Sarah Blackburn,Female,200,11th,eighty,,93,,,Port Scottfort,"July 17, 2022"
1016,Ian Brown,Danielle Hill123,,-5,11th,,45,49,NULL,?,,
,Megan Flores,David Vega123,F,,,N/A,,,,59,,2022.03.14
1018,Daniel Norton Jr.,unknown,,,BSCS,,,absent,,?,Gordonberg,2026.01.08
1019,Matthew Koch,,Female,twenty,12th,93,,82,66,,123City,"December 07, 2023"
1020,,unknown,Male,22,11th,eighty,90 ,absent,52,?,,"February 22, 2023"
1021,,unknown,Male,24,BSCS,,,65,NULL,16,,not_a_date
,dr. gerald larson md,Leah Petty,Male,-5,bs-cs,N/A,,,,143,123City,not_a_date
1023,,unknown,unknown,,,N/A,8,-11,50,108,,2021.06.07
1024,CYNTHIA HIGGINS,Tina Oconnell,,,bs-cs,7,,absent,60,,,
1025,chelsea freeman,unknown,unknown,-5,bs-cs,eighty,,86,17,138,West Jenniferport,
ID_1025,jacqueline johnson,unknown,,twenty,12th,eighty,,,,107,123City,"October 13, 2024"
,,unknown,,,,eighty,90 ,,58,?,APRILVIEW,04/12/2021
1028,  Morgan Chen  ,Matthew Flynn,Female,200,11th,31,,,,,,18/10/2022
1029,,,,-5,11th,eighty,,90,NULL,?,JOHNSONMOUTH,"October 18, 2023"
,  Jeffrey Jackson  ,unknown,M,,bs-cs,N/A,48,62,NULL,?,,2024.03.09
1031,Margaret Watkins,unknown,Male,twenty,11th,eighty,90 ,,,-18,WEST TRISTANLAND,
